File Name,LED Current,Lens Focal Length (mm),Exposure Time (sec),Line,Mean Background,Background Standard Deviation,Sets Found,Mean Signal 1u,Signal to Noise Ratio 1u
10-09 16mm F1.4 7.8Amp 2sec 1uM.bmp,8,16,2,Left Top,25.922,1.849,1,89.864,14.363
10-09 16mm F1.4 7.8Amp 2sec 1uM.bmp,8,16,2,Left Middle,21.750,2.104,1,94.366,13.030
10-09 16mm F1.4 7.8Amp 2sec 1uM.bmp,8,16,2,Left Bottom,23.782,2.072,1,101.692,17.161
10-09 16mm F1.4 7.8Amp 2sec 1uM.bmp,8,16,2,Center Top,16.513,1.600,1,134.747,23.887
10-09 16mm F1.4 7.8Amp 2sec 1uM.bmp,8,16,2,Center Middle,20.168,1.927,1,127.470,20.430
10-09 16mm F1.4 7.8Amp 2sec 1uM.bmp,8,16,2,Center Bottom,22.277,2.113,1,137.132,22.869
10-09 16mm F1.4 7.8Amp 2sec 1uM.bmp,8,16,2,Right Top,19.903,1.631,1,46.446,8.647
10-09 16mm F1.4 7.8Amp 2sec 1uM.bmp,8,16,2,Right Middle,17.402,1.831,1,70.430,11.513
10-09 16mm F1.4 7.8Amp 2sec 1uM.bmp,8,16,2,Right Bottom,15.430,1.561,1,69.802,18.132
10-09 16mm F1.4 7.8Amp 5sec 1uM.bmp,8,16,5,Left Top,58.358,3.332,1,99.123,8.159
10-09 16mm F1.4 7.8Amp 5sec 1uM.bmp,8,16,5,Left Middle,49.283,2.928,1,107.557,12.013
10-09 16mm F1.4 7.8Amp 5sec 1uM.bmp,8,16,5,Left Bottom,54.398,2.733,1,126.578,16.300
10-09 16mm F1.4 7.8Amp 5sec 1uM.bmp,8,16,5,Center Top,38.027,2.834,1,173.650,18.982
10-09 16mm F1.4 7.8Amp 5sec 1uM.bmp,8,16,5,Center Middle,44.687,2.895,1,173.484,17.870
10-09 16mm F1.4 7.8Amp 5sec 1uM.bmp,8,16,5,Center Bottom,52.067,3.293,1,178.078,24.956
10-09 16mm F1.4 7.8Amp 5sec 1uM.bmp,8,16,5,Right Top,47.168,2.836,1,87.872,10.262
10-09 16mm F1.4 7.8Amp 5sec 1uM.bmp,8,16,5,Right Middle,39.315,3.112,1,110.823,11.430
10-09 16mm F1.4 7.8Amp 5sec 1uM.bmp,8,16,5,Right Bottom,35.452,2.509,1,123.598,19.715
10-09 25mm F1.4 7.8Amp 2sec 1uM.bmp,8,25,2,Left Top,8.196,2.093,1,81.529,8.644
10-09 25mm F1.4 7.8Amp 2sec 1uM.bmp,8,25,2,Left Middle,10.487,1.362,1,105.228,21.734
10-09 25mm F1.4 7.8Amp 2sec 1uM.bmp,8,25,2,Left Bottom,9.022,1.284,1,106.812,29.685
10-09 25mm F1.4 7.8Amp 2sec 1uM.bmp,8,25,2,Center Top,5.892,1.521,1,116.674,35.533
10-09 25mm F1.4 7.8Amp 2sec 1uM.bmp,8,25,2,Center Middle,6.450,1.073,1,110.707,33.572
10-09 25mm F1.4 7.8Amp 2sec 1uM.bmp,8,25,2,Center Bottom,6.533,0.968,1,114.646,41.495
10-09 25mm F1.4 7.8Amp 2sec 1uM.bmp,8,25,2,Right Top,5.225,0.962,1,63.772,24.039
10-09 25mm F1.4 7.8Amp 2sec 1uM.bmp,8,25,2,Right Middle,5.657,0.996,1,70.460,25.013
10-09 25mm F1.4 7.8Amp 2sec 1uM.bmp,8,25,2,Right Bottom,6.165,1.053,1,65.807,19.597
10-09 25mm F1.4 7.8Amp 5sec 1uM.bmp,8,25,5,Left Top,17.725,2.197,1,141.184,18.412
10-09 25mm F1.4 7.8Amp 5sec 1uM.bmp,8,25,5,Left Middle,23.695,3.060,1,136.304,18.524
10-09 25mm F1.4 7.8Amp 5sec 1uM.bmp,8,25,5,Left Bottom,20.402,1.945,1,154.269,25.647
10-09 25mm F1.4 7.8Amp 5sec 1uM.bmp,8,25,5,Center Top,12.306,2.841,1,169.091,34.813
10-09 25mm F1.4 7.8Amp 5sec 1uM.bmp,8,25,5,Center Middle,14.928,3.878,1,155.442,30.008
10-09 25mm F1.4 7.8Amp 5sec 1uM.bmp,8,25,5,Center Bottom,14.886,3.997,1,176.468,37.078
10-09 25mm F1.4 7.8Amp 5sec 1uM.bmp,8,25,5,Right Top,10.803,1.584,1,128.341,27.897
10-09 25mm F1.4 7.8Amp 5sec 1uM.bmp,8,25,5,Right Middle,12.657,1.424,1,129.727,34.289
10-09 25mm F1.4 7.8Amp 5sec 1uM.bmp,8,25,5,Right Bottom,12.865,1.707,1,133.114,28.219
10-09 35mm F1.4 7.8Amp 2sec 1uM.bmp,8,35,2,Left Top,6.893,1.037,1,47.001,13.766
10-09 35mm F1.4 7.8Amp 2sec 1uM.bmp,8,35,2,Left Middle,7.062,1.327,1,57.539,14.576
10-09 35mm F1.4 7.8Amp 2sec 1uM.bmp,8,35,2,Left Bottom,6.797,1.077,1,53.536,17.980
10-09 35mm F1.4 7.8Amp 2sec 1uM.bmp,8,35,2,Center Top,6.124,1.176,1,68.126,19.122
10-09 35mm F1.4 7.8Amp 2sec 1uM.bmp,8,35,2,Center Middle,6.087,1.248,1,78.120,21.386
10-09 35mm F1.4 7.8Amp 2sec 1uM.bmp,8,35,2,Center Bottom,5.657,0.997,1,84.576,28.245
10-09 35mm F1.4 7.8Amp 2sec 1uM.bmp,8,35,2,Right Top,5.835,1.038,1,42.293,13.550
10-09 35mm F1.4 7.8Amp 2sec 1uM.bmp,8,35,2,Right Middle,5.823,1.017,1,52.984,19.847
10-09 35mm F1.4 7.8Amp 2sec 1uM.bmp,8,35,2,Right Bottom,6.378,1.168,1,53.183,16.037
10-09 35mm F1.4 7.8Amp 5sec 1uM.bmp,8,35,5,Left Top,14.718,3.936,1,94.524,17.228
10-09 35mm F1.4 7.8Amp 5sec 1uM.bmp,8,35,5,Left Middle,14.483,1.937,1,109.264,18.183
10-09 35mm F1.4 7.8Amp 5sec 1uM.bmp,8,35,5,Left Bottom,14.048,1.806,1,112.117,21.570
10-09 35mm F1.4 7.8Amp 5sec 1uM.bmp,8,35,5,Center Top,12.086,3.278,1,124.724,14.021
10-09 35mm F1.4 7.8Amp 5sec 1uM.bmp,8,35,5,Center Middle,12.208,1.778,1,135.657,24.000
10-09 35mm F1.4 7.8Amp 5sec 1uM.bmp,8,35,5,Center Bottom,12.017,1.848,1,144.592,30.772
10-09 35mm F1.4 7.8Amp 5sec 1uM.bmp,8,35,5,Right Top,12.282,1.506,1,105.292,21.490
10-09 35mm F1.4 7.8Amp 5sec 1uM.bmp,8,35,5,Right Middle,12.372,1.404,1,111.111,24.045
10-09 35mm F1.4 7.8Amp 5sec 1uM.bmp,8,35,5,Right Bottom,13.010,1.595,1,113.022,22.850
10-09 ET595_44m 16mm F1.4 7.8Amp 5sec 1uM.bmp,8,16,5,Left Top,11.902,1.745,1,31.111,5.688
10-09 ET595_44m 16mm F1.4 7.8Amp 5sec 1uM.bmp,8,16,5,Left Middle,11.442,1.679,1,42.406,8.565
10-09 ET595_44m 16mm F1.4 7.8Amp 5sec 1uM.bmp,8,16,5,Left Bottom,11.227,2.014,1,49.218,12.329
10-09 ET595_44m 16mm F1.4 7.8Amp 5sec 1uM.bmp,8,16,5,Center Top,6.079,1.780,1,87.583,23.201
10-09 ET595_44m 16mm F1.4 7.8Amp 5sec 1uM.bmp,8,16,5,Center Middle,7.745,1.316,1,97.332,24.519
10-09 ET595_44m 16mm F1.4 7.8Amp 5sec 1uM.bmp,8,16,5,Center Bottom,8.527,1.274,1,97.579,25.064
10-09 ET595_44m 16mm F1.4 7.8Amp 5sec 1uM.bmp,8,16,5,Right Top,5.694,1.164,1,20.785,6.575
10-09 ET595_44m 16mm F1.4 7.8Amp 5sec 1uM.bmp,8,16,5,Right Middle,9.842,1.817,1,33.889,5.534
10-09 ET595_44m 16mm F1.4 7.8Amp 5sec 1uM.bmp,8,16,5,Right Bottom,5.003,1.219,1,32.059,7.841
10-09 ET600_50m 16mm F1.4 7.8Amp 5sec 1uM.bmp,8,16,5,Left Top,20.287,1.779,1,72.042,13.540
10-09 ET600_50m 16mm F1.4 7.8Amp 5sec 1uM.bmp,8,16,5,Left Middle,18.708,1.838,1,78.536,15.169
10-09 ET600_50m 16mm F1.4 7.8Amp 5sec 1uM.bmp,8,16,5,Left Bottom,18.883,3.675,1,98.016,16.246
10-09 ET600_50m 16mm F1.4 7.8Amp 5sec 1uM.bmp,8,16,5,Center Top,11.495,2.024,1,126.330,28.724
10-09 ET600_50m 16mm F1.4 7.8Amp 5sec 1uM.bmp,8,16,5,Center Middle,14.197,2.119,1,125.817,17.573
10-09 ET600_50m 16mm F1.4 7.8Amp 5sec 1uM.bmp,8,16,5,Center Bottom,15.613,1.868,1,130.373,22.573
10-09 ET600_50m 16mm F1.4 7.8Amp 5sec 1uM.bmp,8,16,5,Right Top,11.140,1.588,1,40.921,8.743
10-09 ET600_50m 16mm F1.4 7.8Amp 5sec 1uM.bmp,8,16,5,Right Middle,13.457,2.200,1,97.944,13.347
10-09 ET600_50m 16mm F1.4 7.8Amp 5sec 1uM.bmp,8,16,5,Right Bottom,8.463,1.254,1,73.264,22.402
